longitude	latitude	Moho
67.5	45.5	39.45
68.5	45.5	40.19
69.5	45.5	41.31
70.5	45.5	42.57
71.5	45.5	44.11
72.5	45.5	44.12
73.5	45.5	41.48
74.5	45.5	39.76
75.5	45.5	40.39
76.5	45.5	42.69
77.5	45.5	43.43
78.5	45.5	43.4
79.5	45.5	42.68
80.5	45.5	39.73
81.5	45.5	45.5
82.5	45.5	45.9
83.5	45.5	45.6
84.5	45.5	44.74
85.5	45.5	42.18
86.5	45.5	41.64
87.5	45.5	41.48
88.5	45.5	41.24
89.5	45.5	41.94
90.5	45.5	42.62
91.5	45.5	45.16
92.5	45.5	46.49
93.5	45.5	46.1
94.5	45.5	46
95.5	45.5	46.04
96.5	45.5	48.91
97.5	45.5	48.78
98.5	45.5	49.04
99.5	45.5	48.4
100.5	45.5	48.47
101.5	45.5	48.33
102.5	45.5	48.44
103.5	45.5	45.61
104.5	45.5	44.64
105.5	45.5	44.63
106.5	45.5	43.67
107.5	45.5	42.81
108.5	45.5	42.46
109.5	45.5	42.74
110.5	45.5	42.02
67.5	44.5	40.12
68.5	44.5	41.42
69.5	44.5	42.04
70.5	44.5	42.32
71.5	44.5	42.94
72.5	44.5	44.2
73.5	44.5	44.16
74.5	44.5	44.93
75.5	44.5	43.73
76.5	44.5	43
77.5	44.5	43.46
78.5	44.5	46.06
79.5	44.5	45.61
80.5	44.5	45.38
81.5	44.5	46.34
82.5	44.5	46.94
83.5	44.5	46.69
84.5	44.5	45.68
85.5	44.5	45.44
86.5	44.5	45.52
87.5	44.5	44.96
88.5	44.5	45.39
89.5	44.5	45.36
90.5	44.5	46.18
91.5	44.5	45.89
92.5	44.5	45.87
93.5	44.5	46.03
94.5	44.5	45.95
95.5	44.5	45.82
96.5	44.5	47.6
97.5	44.5	46.44
98.5	44.5	45.24
99.5	44.5	45.17
100.5	44.5	45.3
101.5	44.5	45.5
102.5	44.5	44.51
103.5	44.5	44.83
104.5	44.5	43.77
105.5	44.5	43.72
106.5	44.5	42.77
107.5	44.5	42.19
108.5	44.5	41.9
109.5	44.5	42.07
110.5	44.5	42.07
67.5	43.5	38.6
68.5	43.5	40
69.5	43.5	40.67
70.5	43.5	42.04
71.5	43.5	44.82
72.5	43.5	46.49
73.5	43.5	47.31
74.5	43.5	48.32
75.5	43.5	46.44
76.5	43.5	48.58
77.5	43.5	46.07
78.5	43.5	50.48
79.5	43.5	50.23
80.5	43.5	48.3
81.5	43.5	50.59
82.5	43.5	50.6
83.5	43.5	49.77
84.5	43.5	49.02
85.5	43.5	48.87
86.5	43.5	49.42
87.5	43.5	45.2
88.5	43.5	45.33
89.5	43.5	52.26
90.5	43.5	52.41
91.5	43.5	52.7
92.5	43.5	50.32
93.5	43.5	46.91
94.5	43.5	46.37
95.5	43.5	47.48
96.5	43.5	46.27
97.5	43.5	44.83
98.5	43.5	43.8
99.5	43.5	43.97
100.5	43.5	44.46
101.5	43.5	44.5
102.5	43.5	45.37
103.5	43.5	45.27
104.5	43.5	44.4
105.5	43.5	43.48
106.5	43.5	43.65
107.5	43.5	42.97
108.5	43.5	43.06
109.5	43.5	43.48
110.5	43.5	43.44
67.5	42.5	38.75
68.5	42.5	40.93
69.5	42.5	42.82
70.5	42.5	42.55
71.5	42.5	47.21
72.5	42.5	51.15
73.5	42.5	51.13
74.5	42.5	51.79
75.5	42.5	52.33
76.5	42.5	52.96
77.5	42.5	52.55
78.5	42.5	53.19
79.5	42.5	53.67
80.5	42.5	49.46
81.5	42.5	50.95
82.5	42.5	51.22
83.5	42.5	51.21
84.5	42.5	51.34
85.5	42.5	51.2
86.5	42.5	51.89
87.5	42.5	51.01
88.5	42.5	51.13
89.5	42.5	49.58
90.5	42.5	47.34
91.5	42.5	47.33
92.5	42.5	47.53
93.5	42.5	47.79
94.5	42.5	47.71
95.5	42.5	47.54
96.5	42.5	45.92
97.5	42.5	45.1
98.5	42.5	44.16
99.5	42.5	44.89
100.5	42.5	44.96
101.5	42.5	45.37
102.5	42.5	45.02
103.5	42.5	44.73
104.5	42.5	43.56
105.5	42.5	43.74
106.5	42.5	44
107.5	42.5	43.42
108.5	42.5	43.34
109.5	42.5	44.81
110.5	42.5	44.88
67.5	41.5	40.08
68.5	41.5	42.06
69.5	41.5	46.39
70.5	41.5	48.77
71.5	41.5	51.55
72.5	41.5	52.79
73.5	41.5	49.06
74.5	41.5	47.65
75.5	41.5	47.81
76.5	41.5	47.25
77.5	41.5	48.83
78.5	41.5	49.3
79.5	41.5	49.84
80.5	41.5	45.79
81.5	41.5	45.7
82.5	41.5	49.87
83.5	41.5	49.97
84.5	41.5	47.06
85.5	41.5	45.04
86.5	41.5	44.95
87.5	41.5	44.15
88.5	41.5	43.63
89.5	41.5	43.81
90.5	41.5	44.31
91.5	41.5	44.47
92.5	41.5	44.54
93.5	41.5	44.84
94.5	41.5	45.04
95.5	41.5	46.65
96.5	41.5	46.52
97.5	41.5	46.32
98.5	41.5	46.63
99.5	41.5	45.83
100.5	41.5	45.29
101.5	41.5	45.03
102.5	41.5	44.44
103.5	41.5	44.42
104.5	41.5	44.53
105.5	41.5	44.97
106.5	41.5	44.57
107.5	41.5	43.62
108.5	41.5	43.7
109.5	41.5	42.46
110.5	41.5	43.44
67.5	40.5	41.06
68.5	40.5	43.28
69.5	40.5	44.96
70.5	40.5	47.83
71.5	40.5	50.33
72.5	40.5	51.17
73.5	40.5	48.94
74.5	40.5	47.25
75.5	40.5	48
76.5	40.5	49.15
77.5	40.5	51.58
78.5	40.5	54.93
79.5	40.5	51.17
80.5	40.5	45.34
81.5	40.5	45.48
82.5	40.5	45.01
83.5	40.5	44.04
84.5	40.5	43.06
85.5	40.5	43.08
86.5	40.5	43.1
87.5	40.5	43.14
88.5	40.5	43.13
