# Metadata,# In some references the name of the compilation author is mentioned,,,,,,,,,,,,,,,,,,,,,,,,,
Net,Station,Lat,Long,Moho_km,err_moho,Avg_Vp/Vs,Poisson’s_ratio,Elevation,Avg_Vp(km/s),Vp_err,Avg_Vs(km/s),Vs_err,N,Sediment,Location,Reference,Compilation,Comments (Method - other notes etc.),Sub-methods,Comments2,H2 (other methods),err,Vsn2,κ2,,
,A01,36.43,94.87,49.5,,1.78,0.27,,6.2,,3.48,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,A01,36.43,94.87,48,,1.81,0.28,,6.22,,3.44,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,A03,36.81,92.95,49,,1.78,0.269,,6.2,,3.48,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,A05,37.02,91.74,57,,1.83,0.287,,6.38,,3.49,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,AMDO,32.25,91.7,74,,1.73,0.249,,6.2,,3.58,,,,India-Tibet,Sherrington,Singh 2015,,,,,,,,,
,AML,28.05,96.48,53.97,,0,0,,0,,0,,,,India-Tibet,Hazarika,Singh 2015,,,,,,,,,
,AXX,40.5,95.8,48.8,,1.74,0.252,,6.16,,3.54,,,,India-Tibet,Chen,Singh 2015,,,,,,,,,
,AXX,40.5,95.8,49.5,,1.8,0.277,,6.3,,3.5,,,,India-Tibet,Tian,Singh 2015,,,,,,,,,
,B02,32.97,94.14,75,,1.79,0.273,,6.48,,3.62,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,B02,32.97,94.14,74.3,,1.81,0.28,,6.2,,3.43,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,BAS,30.06,96.91,68.4,,1.81,0.28,,6.2,,3.43,,,,India-Tibet,Wang,Singh 2015,,,,,,,,,
,BB14,29.37,90.18,80,,0,0,,0,,3.65,,,,India-Tibet,Mitra,Singh 2015,,,,,,,,,
,BB18,28.93,89.74,76,,0,0,,0,,3.61,,,,India-Tibet,Mitra,Singh 2015,,,,,,,,,
,BB20,28.73,89.66,76,,0,0,,0,,3.65,,,,India-Tibet,Mitra,Singh 2015,,,,,,,,,
,BB23,28.49,89.66,62,,0,0,,0,,3.63,,,,India-Tibet,Mitra,Singh 2015,,,,,,,,,
,BB34,29.1,89.25,76,,0,0,,0,,3.51,,,,India-Tibet,Acton,Singh 2015,,,,,,,,,
,BDA,30.2,97.31,71.2,,1.78,0.269,,6.2,,3.48,,,,India-Tibet,Wang,Singh 2015,,,,,,,,,
,BDI,30.95,76.78,49.84,,0,0,,0,,0,,,,India-Tibet,Rai,Singh 2015,,,,,,,,,
,BIRA,26.48,87.26,46,,0,0,,0,,3.78,,,,India-Tibet,Acton,Singh 2015,,,,,,,,,
,BKD,26.92,92.11,57,,1.73,0.25,,6.35,,3.67,,,,India-Tibet,Kumar,Singh 2015,,,,,,,,,
,BKD,26.92,92.11,50,,1.84,0.29,,6.35,,3.45,,,,India-Tibet,Kumar,Singh 2015,,,,,,,,,
,BMD,27.27,92.42,48,,0,0,,0,,3.58,,,,India-Tibet,Mitra,Singh 2015,,,,,,,,,
,BMI,29.81,95.82,66.6,,1.69,0.231,,6.2,,3.67,,,,India-Tibet,Wang,Singh 2015,,,,,,,,,
,BNJR,31.65,77.35,50,,1.74,0.253,,0,,0,,,,India-Tibet,Hazarika,Singh 2015,,,,,,,,,
,bs,25.12,99.15,38.7,,1.72,0.245,,6.2,,3.6,,,,India-Tibet,Li,Singh 2015,,,,,,,,,
,BSP,31.3,76.78,49.84,,0,0,,0,,0,,,,India-Tibet,Rai,Singh 2015,,,,,,,,,
,BTA,30,99.1,57.4,,1.92,0.31,,6.3,,3.28,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,BTGM,34.67,73.02,60,,0,0,,0,,3.63,,,,India-Tibet,Li,Singh 2015,,,,,,,,,
,BUDO,35.53,93.9,69,,1.73,0.249,,6.26,,3.62,,,,India-Tibet,Sherrington,Singh 2015,,,,,,,,,
,C01,35.81,94.89,67.9,,1.73,0.25,,6.2,,3.58,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,C02,35.7,94.4,68.3,,1.8,0.28,,6.2,,3.44,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,C02,35.7,94.4,69,,1.82,0.284,,6.4,,3.52,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,C03,35.9,93.77,70,,1.79,0.273,,6.4,,3.58,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,C04,35.57,94.04,71,,1.73,0.249,,6.4,,3.7,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,C04,35.57,94.04,68.5,,1.78,0.27,,6.2,,3.48,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,C08,34.28,92.43,67,,1.83,0.287,,6.4,,3.5,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,C09,33.86,92.25,67.5,,1.78,0.27,,6.2,,3.48,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,C09,33.86,92.25,69,,1.81,0.28,,6.47,,3.57,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,C10,33.26,91.84,63.3,,1.8,0.28,,6.2,,3.44,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,C10,33.26,91.84,66,,1.8,0.277,,6.47,,3.59,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,C11,32.79,91.86,66.5,,1.74,0.25,,6.2,,3.56,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,C11,32.79,91.86,63,,1.85,0.294,,6.47,,3.5,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,C12,31.99,91.71,72.7,,1.75,0.26,,6.2,,3.54,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,C12,31.99,91.71,71,,1.86,0.297,,6.47,,3.48,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,C13,34,91.55,66,,1.88,0.303,,6.47,,3.44,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,C14,32.1,91.26,69,,1.78,0.269,,6.47,,3.63,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,CAD,31,97.5,71.5,,1.7,0.234,,6.32,,3.72,,,,India-Tibet,Chen,Singh 2015,,,,,,,,,
,CHTG,27.6,88.64,54,,0,0,,0,,3.53,,,,India-Tibet,Acton,Singh 2015,,,,,,,,,
,CHTO,18.79,98.98,30.9,,1.65,0.21,,0,,0,,,,India-Tibet,Bai,Singh 2015,,,,,,,,,
,CHUL,33.6,78.65,78,,1.84,0.29,,0,,0,,,,India-Tibet,Hazarika,Singh 2015,,,,,,,,,
,CHUM,33.36,78.34,73,,1.85,0.294,,0,,0,,,,India-Tibet,Hazarika,Singh 2015,,,,,,,,,
,cy,23.13,99.26,33,,1.73,0.249,,6.2,,3.58,,,,India-Tibet,Li,Singh 2015,,,,,,,,,
,D01,34.18,95.83,76,,1.71,0.24,,6.4,,3.74,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D06,33.79,96.73,80.9,,1.68,0.23,,6.2,,3.69,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D06,33.79,96.73,72,,1.78,0.269,,6.48,,3.64,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D07,34.78,96.17,65.1,,1.76,0.26,,6.2,,3.52,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D07,34.78,96.17,68,,1.78,0.269,,6.4,,3.6,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D08,34.92,94.78,69,,1.71,0.24,,6.4,,3.74,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D08,34.92,94.78,66.9,,1.73,0.25,,6.2,,3.58,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D09,35.12,93.96,72,,1.7,0.235,,6.4,,3.76,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D09,35.12,93.96,68.7,,1.72,0.24,,6.2,,3.6,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D10,34.37,97.92,63,,1.83,0.29,,6.2,,3.39,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D10,34.37,97.92,63,,1.84,0.29,,6.4,,3.48,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D11,34.06,97.2,61.9,,1.8,0.28,,6.2,,3.44,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D11,34.06,97.2,64,,1.81,0.28,,6.4,,3.54,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D12,33.41,97.28,78,,1.75,0.258,,6.48,,3.7,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D12,33.41,97.28,75.7,,1.76,0.26,,6.2,,3.52,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D13,33.01,97.11,74.8,,1.7,0.24,,6.2,,3.65,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D13,33.01,97.11,73,,1.8,0.277,,6.48,,3.6,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D14,32.95,96.08,78,,1.79,0.273,,6.48,,3.62,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D15,32.85,95.44,62,,1.85,0.294,,6.48,,3.5,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D18,32.89,94.7,76,,1.7,0.235,,6.48,,3.81,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D18,32.89,94.7,72.4,,1.76,0.26,,6.2,,3.52,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D19,34.27,94.92,70,,1.72,0.245,,6.4,,3.72,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D19,34.27,94.92,67.5,,1.78,0.27,,6.2,,3.48,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D21,31.87,93.03,79,,1.79,0.273,,6.47,,3.61,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D23,31.54,95.26,69.3,,1.75,0.26,,6.2,,3.54,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D23,31.54,95.26,73,,1.75,0.258,,6.48,,3.7,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D24,31.16,96.47,74.1,,1.74,0.25,,6.2,,3.56,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D24,31.16,96.47,75,,1.76,0.262,,6.4,,3.64,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D25,31.99,96.51,75.8,,1.68,0.23,,6.2,,3.69,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D25,31.99,96.51,74,,1.77,0.266,,6.4,,3.62,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,D26,32.46,96.39,70.9,,1.81,0.28,,6.2,,3.43,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
,D26,32.46,96.39,72,,1.82,0.284,,6.48,,3.56,,,,India-Tibet,Yue,Singh 2015,,,,,,,,,
,DCD,37.9,95.4,61,,1.69,0.231,,6.3,,3.73,,,,India-Tibet,Tian,Singh 2015,,,,,,,,,
,DCH,32.68,77.2,56.3,,0,0,,0,,0,,,,India-Tibet,Rai,Singh 2015,,,,,,,,,
,DHT,40,94.8,49.2,,1.79,0.273,,6.3,,3.52,,,,India-Tibet,Tian,Singh 2015,,,,,,,,,
,DJLG,26.99,88.27,47,,0,0,,0,,3.59,,,,India-Tibet,Acton,Singh 2015,,,,,,,,,
,DLH,37.4,97.4,60.8,,1.73,0.249,,6.3,,3.64,,,,India-Tibet,Tian,Singh 2015,,,,,,,,,
,DNB,29.54,98.23,66.6,,1.8,0.277,,6.2,,3.44,,,,India-Tibet,Wang,Singh 2015,,,,,,,,,
,DNL,27.91,96.32,50.34,,0,0,,0,,0,,,,India-Tibet,Hazarika,Singh 2015,,,,,,,,,
,DRBK,34.1,78.12,72,,1.81,0.28,,0,,0,,,,India-Tibet,Hazarika,Singh 2015,,,,,,,,,
,DUL,36.3,98.1,58.8,,1.7,0.235,,6.3,,3.71,,,,India-Tibet,Tian,Singh 2015,,,,,,,,,
,DUL,36.3,98.1,55.4,,1.73,0.25,,6.3,,3.64,,,,India-Tibet,Xu,Singh 2015,,,,,,,,,
