Net,Station,Lat,Long,Moho_km,err_moho,Avg_Vp/Vs,Poisson’s_ratio,Elevation,Avg_Vp(km/s),Vp_err,Avg_Vs(km/s),Vs_err,N,Sediment,Location,Reference,Compilation,Comments (Method - other notes etc.),Sub-methods,Comments2,H2 (other methods),err,Vsn2,κ2,Unnamed: 25,Unnamed: 26
,,-90.0,0.0,38.0,,1.83,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-90.0,140.0,26.0,,1.63,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-89.93,144.36,40.0,,1.73,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-89.93,145.0,39.0,,1.76,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-87.42,-149.43,35.0,,1.83,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-86.99,129.36,32.0,,1.6,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-85.61,-68.55,34.0,,1.61,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-85.31,-143.63,26.0,,1.71,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-84.72,-171.2,27.0,,1.69,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-84.57,-117.39,29.0,,1.8,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-84.5,77.22,26.0,,1.6,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-84.35,-23.73,40.0,,1.97,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-84.19,-86.23,31.0,,1.67,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-83.87,-66.4,28.0,,1.65,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-83.31,156.25,36.0,,1.8,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-82.86,-53.2,40.0,,1.74,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-82.68,-104.39,34.0,,1.68,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-82.45,-136.09,30.0,,1.85,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-82.38,-142.16,57.0,,1.83,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-82.35,-136.08,22.0,,1.69,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-82.08,101.96,30.0,,1.6,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-82.07,107.64,49.0,,1.84,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-82.01,96.76,45.0,,2.05,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-82.01,112.57,53.0,,1.72,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-81.88,117.61,40.0,,2.1,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-81.8,-124.99,33.0,,1.66,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-81.65,122.61,43.0,,2.01,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-81.64,-148.96,29.0,,1.65,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-81.58,-28.42,38.0,,1.77,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-81.48,161.97,30.0,,1.6,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-81.35,152.74,36.0,,1.87,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-81.16,131.47,37.0,,2.1,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-80.81,135.43,54.0,,1.8,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-80.39,135.27,52.0,,1.83,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-80.39,138.92,25.0,,1.6,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-80.0,-119.55,25.0,,1.8,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-79.9,-105.0,26.0,,1.6,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-79.77,-82.52,35.0,,1.77,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-79.44,-97.56,33.0,,1.62,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-79.42,-111.78,25.0,,1.6,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-79.02,-147.63,24.0,,1.93,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-78.98,-179.42,21.0,,1.98,,,,,,,,,OFFSHORE,EARS,Stephenson 2024,Hk,,,,,,,,
,,-78.94,-97.56,22.0,,1.64,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-78.93,162.57,49.0,,1.77,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-78.75,-144.01,40.0,,1.67,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-78.6,-109.0,26.0,,1.97,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-78.42,-97.59,25.0,,1.6,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-78.25,-93.5,27.0,,1.62,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-78.03,-155.02,29.0,,1.7,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.94,-97.56,26.0,,1.6,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.92,166.9,64.0,,2.05,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.91,166.97,51.0,,1.83,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.89,166.0,60.0,,1.91,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.85,-166.67,68.0,,1.7,,,,,,,,,OFFSHORE,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.85,166.76,25.0,,1.89,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.58,-109.04,27.0,,2.01,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.55,167.28,21.0,,1.6,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.53,-86.77,30.0,,2.08,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.53,166.93,18.0,,2.03,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.53,167.14,18.0,,1.87,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.51,161.85,24.0,,2.1,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.51,167.14,42.0,,1.72,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.44,-97.56,26.0,,1.6,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.4,-103.0,24.0,,1.62,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.32,-141.85,28.0,,1.78,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.13,-125.97,26.0,,2.1,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.0,166.69,33.0,,1.6,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-76.94,-97.56,34.0,,1.72,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-76.93,157.9,28.0,,2.07,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-76.45,-107.78,25.0,,1.83,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-76.24,153.33,38.0,,1.88,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-76.15,-120.73,40.0,,1.8,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-75.28,-72.19,32.0,,1.63,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-75.2,154.0,36.0,,2.1,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-75.11,123.31,25.0,,1.6,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
