Net,Station,Lat,Long,Moho_km,err_moho,Avg_Vp/Vs,Poisson’s_ratio,Elevation,Avg_Vp(km/s),Vp_err,Avg_Vs(km/s),Vs_err,N,Sediment,Location,Reference,Compilation,Comments (Method - other notes etc.),Sub-methods,Comments2,H2 (other methods),err,Vsn2,κ2,Unnamed: 25,Unnamed: 26
,,-82.12,-115.8,33.75,,-,,,,,,,,,GSC_global_database,97C.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-81.95,-113.53,31.5,,-,,,,,,,,,GSC_global_database,97C.2,Stephenson 2024,Refraction,P_unreversed,,,,,,,
,,-81.37,-107.28,32.5,,-,,,,,,,,,GSC_global_database,97C.2,Stephenson 2024,Refraction,P_unreversed,,,,,,,
,,-76.5,15.0,39.82,,-,,,,,,,,,GSC_global_database,91B.3,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-75.85,161.4,41.0,,-,,,,,,,,,GSC_global_database,97P.2,Stephenson 2024,Reflection,-,,,,,,,
,,-75.8,160.5,43.0,,-,,,,,,,,,GSC_global_database,97P.2,Stephenson 2024,Reflection,-,,,,,,,
,,-75.6,162.1,27.1,,-,,,,,,,,,GSC_global_database,97D.1,Stephenson 2024,Refraction,P_unreversed,,,,,,,
,,-75.5,160.0,36.0,,-,,,,,,,,,GSC_global_database,97D.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-75.4,157.2,38.8,,-,,,,,,,,,GSC_global_database,97D.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-74.5,-67.5,30.0,,-,,,,,,,,,GSC_global_database,91B.3,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-72.8,-5.8,39.4,,-,,,,,,,,,GSC_global_database,91K.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-72.4,-7.1,38.4,,-,,,,,,,,,GSC_global_database,91K.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-72.0,-8.0,37.2,,-,,,,,,,,,GSC_global_database,91K.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-71.5,-9.0,36.1,,-,,,,,,,,,GSC_global_database,91K.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-70.78,12.17,38.0,,-,,,,,,,,,GSC_global_database,72K.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-70.73,-6.16,34.6,,-,,,,,,,,,GSC_global_database,96H.4,Stephenson 2024,Refraction,P_unreversed,,,,,,,
,,-70.1,43.3,43.5,,-,,,,,,,,,GSC_global_database,83I.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-69.9,42.5,42.0,,-,,,,,,,,,GSC_global_database,91B.3,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-69.9,42.81,42.0,,-,,,,,,,,,GSC_global_database,84I.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-69.48,41.7,42.0,,-,,,,,,,,,GSC_global_database,84I.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-69.18,40.92,42.7,,-,,,,,,,,,GSC_global_database,83I.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-69.08,40.8,41.5,,-,,,,,,,,,GSC_global_database,84I.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-69.01,-66.59,30.0,,-,,,,,,,,,GSC_global_database,97R.3,Stephenson 2024,Refraction,P_unreversed,,,,,,,
,,-67.3,-68.5,36.0,,-,,,,,,,,,GSC_global_database,97S.1,Stephenson 2024,Refraction,P_unreversed,,,,,,,
,,-64.6,-61.5,33.5,,-,,,,,,,,,GSC_global_database,00D.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-64.5,-63.5,40.6,,-,,,,,,,,,GSC_global_database,97S.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-64.3,-63.3,39.0,,-,,,,,,,,,GSC_global_database,97S.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-63.98,-58.7,38.5,,-,,,,,,,,,GSC_global_database,00D.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-54.81,-68.43,30.7,,1.77,,,,,,,,,America_South,Buffoni2019,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-54.68,-67.34,35.5,,1.73,,,,,,,,,America_South,Buffoni2019,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-54.34,-67.85,30.5,,1.83,,,,,,,,,America_South,Buffoni2019,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-53.95,-68.26,26.7,,1.74,,,,,,,,,America_South,Buffoni2019,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-53.3,-72.0,32.0,,-,,,,,,,,,GSC_global_database,65L.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-52.06,-70.0,31.1,,-,,,,,,,,,America_South,Lawrence2004,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-51.57,-72.62,30.4,,-,,,,,,,,,America_South,Lawrence2004,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-44.15,170.6,34.5,,-,,,,,,,,,GSC_global_database,98D.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-43.7,170.27,43.0,,-,,,,,,,,,GSC_global_database,98D.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-42.98,171.5,35.0,,-,,,,,,,,,GSC_global_database,00A.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-42.8,147.1,40.0,,-,,,,,,,,,GSC_global_database,86D.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-42.18,171.68,30.1,,-,,,,,,,,,GSC_global_database,05M.2,Stephenson 2024,Refraction,P_unreversed,,,,,,,
,,-41.62,145.07,23.8,,-,,,,,,,,,GSC_global_database,80R.1,Stephenson 2024,Reflection,-,,,,,,,
