Net,Station,Lat,Long,Moho_km,err_moho,Avg_Vp/Vs,Poisson’s_ratio,Elevation,Avg_Vp(km/s),Vp_err,Avg_Vs(km/s),Vs_err,N,Sediment,Location,Reference,Compilation,Comments (Method - other notes etc.),Sub-methods,Comments2,H2 (other methods),err,Vsn2,κ2,Unnamed: 25,Unnamed: 26
,,-89.93,144.44,39.0,,1.75,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-89.93,144.44,25.0,,1.6,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.53,167.08,32.0,,1.61,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.53,167.08,18.0,,1.6,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.52,161.85,32.0,,1.79,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.52,161.85,33.0,,1.79,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.52,167.15,18.0,,1.74,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-77.52,167.15,22.0,,1.62,,,,,,,,,Antarctica,EARS,Stephenson 2024,Hk,,,,,,,,
,,-46.29,169.31,25.1,,1.743,,,,,,,,,New_Zealand,Spasojevic2008,Stephenson 2024,Hk,-,,,,,,,
,,-46.29,169.31,18.0,,1.88,,,,,,,,,Oceania,EARS,Stephenson 2024,Hk,,,,,,,,
,,-45.89,167.95,35.5,,1.9,,,,,,,,,New_Zealand,Ramlakhan2022,Stephenson 2024,Hk,Transfer_function,,,,,,,
,,-45.89,167.95,36.8,,1.767,,,,,,,,,New_Zealand,Spasojevic2008,Stephenson 2024,Hk,-,,,,,,,
,,-45.79,170.04,21.3,,1.78,,,,,,,,,New_Zealand,Spasojevic2008,Stephenson 2024,Hk,-,,,,,,,
,,-45.79,170.04,38.0,,2.0,,,,,,,,,Oceania,EARS,Stephenson 2024,Hk,,,,,,,,
,,-45.37,168.12,37.5,,1.9,,,,,,,,,New_Zealand,Ramlakhan2022,Stephenson 2024,Hk,Transfer_function,,,,,,,
,,-45.37,168.12,45.4,,1.727,,,,,,,,,New_Zealand,Spasojevic2008,Stephenson 2024,Hk,-,,,,,,,
,,-44.53,169.88,40.0,,1.773,,,,,,,,,New_Zealand,Spasojevic2008,Stephenson 2024,Hk,-,,,,,,,
,,-44.53,169.88,34.0,,1.73,,,,,,,,,Oceania,EARS,Stephenson 2024,Hk,,,,,,,,
,,-44.39,170.18,35.0,,1.9,,,,,,,,,New_Zealand,Ramlakhan2022,Stephenson 2024,Hk,Transfer_function,,,,,,,
,,-44.39,170.18,29.9,,1.717,,,,,,,,,New_Zealand,Spasojevic2008,Stephenson 2024,Hk,-,,,,,,,
,,-44.07,168.79,38.0,,1.9,,,,,,,,,New_Zealand,Ramlakhan2022,Stephenson 2024,Hk,Transfer_function,,,,,,,
,,-44.07,168.79,32.0,,1.823,,,,,,,,,New_Zealand,Spasojevic2008,Stephenson 2024,Hk,-,,,,,,,
,,-43.71,172.65,34.5,,1.9,,,,,,,,,New_Zealand,Ramlakhan2022,Stephenson 2024,Hk,Transfer_function,,,,,,,
,,-43.71,172.65,25.0,,1.735,,,,,,,,,New_Zealand,Spasojevic2008,Stephenson 2024,Hk,-,,,,,,,
,,-42.97,171.58,56.0,,1.745,,,,,,,,,New_Zealand,Spasojevic2008,Stephenson 2024,Hk,-,,,,,,,
,,-42.97,171.58,38.0,,1.6,,,,,,,,,Oceania,EARS,Stephenson 2024,Hk,,,,,,,,
,,-42.94,147.36,36.0,,1.81,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-42.94,147.36,29.0,,1.79,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-42.91,147.32,33.5,,1.7,,,,,,,,,Australia,Bello2021,Stephenson 2024,Hk,-,,,,,,,
,,-42.91,147.32,33.0,,1.71,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-42.78,172.27,36.0,,1.9,,,,,,,,,New_Zealand,Ramlakhan2022,Stephenson 2024,Hk,Transfer_function,,,,,,,
,,-42.78,172.27,31.9,,1.86,,,,,,,,,New_Zealand,Spasojevic2008,Stephenson 2024,Hk,-,,,,,,,
,,-42.78,172.27,32.4,,1.835,,,,,,,,,New_Zealand,Spasojevic2008,Stephenson 2024,Hk,-,,,,,,,
,,-42.78,172.27,34.0,,1.84,,,,,,,,,Oceania,EARS,Stephenson 2024,Hk,,,,,,,,
,,-42.44,147.19,33.0,,1.71,,,,,,,,,Australia,Bello2021,Stephenson 2024,Hk,-,,,,,,,
,,-42.44,147.19,35.0,,1.63,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-42.42,173.54,34.5,,1.9,,,,,,,,,New_Zealand,Ramlakhan2022,Stephenson 2024,Hk,Transfer_function,,,,,,,
,,-42.42,173.54,23.4,,1.733,,,,,,,,,New_Zealand,Spasojevic2008,Stephenson 2024,Hk,-,,,,,,,
,,-41.76,172.91,34.5,,1.9,,,,,,,,,New_Zealand,Ramlakhan2022,Stephenson 2024,Hk,Transfer_function,,,,,,,
,,-41.76,172.91,29.5,,1.767,,,,,,,,,New_Zealand,Spasojevic2008,Stephenson 2024,Hk,-,,,,,,,
,,-41.22,173.38,36.5,,1.9,,,,,,,,,New_Zealand,Ramlakhan2022,Stephenson 2024,Hk,Transfer_function,,,,,,,
,,-41.22,173.38,29.5,,1.828,,,,,,,,,New_Zealand,Spasojevic2008,Stephenson 2024,Hk,-,,,,,,,
,,-41.08,145.9,26.0,,1.64,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-41.08,145.9,42.0,,1.6,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-40.83,172.53,34.0,,1.9,,,,,,,,,New_Zealand,Ramlakhan2022,Stephenson 2024,Hk,Transfer_function,,,,,,,
,,-40.83,172.53,30.0,,1.713,,,,,,,,,New_Zealand,Spasojevic2008,Stephenson 2024,Hk,-,,,,,,,
,,-40.83,172.53,29.8,,1.725,,,,,,,,,New_Zealand,Spasojevic2008,Stephenson 2024,Hk,-,,,,,,,
,,-40.83,172.53,61.0,,1.62,,,,,,,,,Oceania,EARS,Stephenson 2024,Hk,,,,,,,,
,,-38.11,142.32,42.0,,1.97,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-38.11,142.32,50.0,,1.84,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-37.97,145.16,35.0,,1.71,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-37.97,145.16,34.0,,1.84,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-36.42,148.61,31.0,,1.6,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-36.42,148.61,29.0,,1.6,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-36.1,144.75,25.0,,1.66,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
