latitude,longitude,rf_moho,spline_moho,err_moho
36.43,94.87,49.5,62.99583568470536,13.495835684705362
36.43,94.87,48.0,62.99583568470536,14.995835684705362
36.81,92.95,49.0,61.643753107325104,12.643753107325104
37.02,91.74,57.0,60.837238752772684,3.8372387527726843
32.25,91.7,74.0,69.04876968964516,4.951230310354845
28.05,96.48,53.97,57.67442703327904,3.704427033279039
40.5,95.8,48.8,51.333665121009716,2.5336651210097187
40.5,95.8,49.5,51.333665121009716,1.833665121009716
32.97,94.14,75.0,70.15025881565924,4.849741184340758
32.97,94.14,74.3,70.15025881565924,4.149741184340755
30.06,96.91,68.4,66.51127165191208,1.8887283480879233
29.37,90.18,80.0,62.732519948173284,17.267480051826716
28.93,89.74,76.0,60.95568762364473,15.044312376355272
28.73,89.66,76.0,60.11968016168023,15.880319838319771
28.49,89.66,62.0,59.08321045680774,2.916789543192259
29.1,89.25,76.0,61.55343978012659,14.446560219873412
30.2,97.31,71.2,66.76946847628896,4.430531523711039
30.95,76.78,49.84,57.11062190259147,7.270621902591465
26.48,87.26,46.0,50.284625279151115,4.284625279151115
26.92,92.11,57.0,50.76392884445356,6.2360711555464405
26.92,92.11,50.0,50.76392884445356,0.7639288444535595
27.27,92.42,48.0,52.6123477605007,4.612347760500697
29.81,95.82,66.6,65.7183387386519,0.8816612613480999
31.65,77.35,50.0,59.466721194383595,9.466721194383595
25.12,99.15,38.7,41.94200499455037,3.2420049945503706
31.3,76.78,49.84,58.04456221665285,8.204562216652846
30.0,99.1,57.4,64.74133743914513,7.3413374391451285
34.67,73.02,60.0,60.41212074637904,0.4121207463790384
35.53,93.9,69.0,65.41610303355868,3.5838969664413156
35.81,94.89,67.9,64.78614695773652,3.113853042263486
35.7,94.4,68.3,65.04997922922081,3.2500207707791873
35.7,94.4,69.0,65.04997922922081,3.95002077077919
35.9,93.77,70.0,64.38646336751734,5.613536632482663
35.57,94.04,71.0,65.340325624774,5.659674375226004
35.57,94.04,68.5,65.340325624774,3.159674375226004
34.28,92.43,67.0,67.66106232156359,0.6610623215635911
33.86,92.25,67.5,68.24753564758436,0.7475356475843569
33.86,92.25,69.0,68.24753564758436,0.7524643524156431
33.26,91.84,63.3,68.72359297822841,5.423592978228413
33.26,91.84,66.0,68.72359297822841,2.7235929782284103
32.79,91.86,66.5,69.06304587958674,2.5630458795867384
32.79,91.86,63.0,69.06304587958674,6.063045879586738
31.99,91.71,72.7,68.97201990195535,3.727980098044654
31.99,91.71,71.0,68.97201990195535,2.027980098044651
34.0,91.55,66.0,67.64132054499869,1.6413205449986918
32.1,91.26,69.0,68.75080232509511,0.24919767490489164
31.0,97.5,71.5,68.28046325963783,3.219536740362173
27.6,88.64,54.0,55.0802047249481,1.0802047249481035
18.79,98.98,30.9,29.256405425947758,1.6435945740522406
33.6,78.65,78.0,63.81140426847922,14.188595731520778
33.36,78.34,73.0,63.404503404083016,9.595496595916984
23.13,99.26,33.0,34.07495603301796,1.074956033017962
34.18,95.83,76.0,68.58062860683255,7.419371393167452
33.79,96.73,80.9,68.71640887569224,12.183591124307767
33.79,96.73,72.0,68.71640887569224,3.283591124307762
34.78,96.17,65.1,67.19374965206771,2.0937496520677144
34.78,96.17,68.0,67.19374965206771,0.8062503479322913
34.92,94.78,69.0,67.1071471666416,1.892852833358404
34.92,94.78,66.9,67.1071471666416,0.20714716664159027
35.12,93.96,72.0,66.47848272924385,5.521517270756149
35.12,93.96,68.7,66.47848272924385,2.221517270756152
34.37,97.92,63.0,66.33757187139881,3.337571871398808
34.06,97.2,61.9,67.8208129022508,5.920812902250795
34.06,97.2,64.0,67.8208129022508,3.8208129022507933
33.41,97.28,78.0,68.6569469571894,9.343053042810595
33.41,97.28,75.7,68.6569469571894,7.043053042810598
33.01,97.11,74.8,69.2503818220026,5.549618177997402
33.01,97.11,73.0,69.2503818220026,3.749618177997405
32.95,96.08,78.0,70.10144252292831,7.898557477071691
32.85,95.44,62.0,70.362744088401,8.362744088401001
32.89,94.7,76.0,70.3354006464992,5.664599353500805
32.89,94.7,72.4,70.3354006464992,2.0645993535008103
34.27,94.92,70.0,68.53478248584383,1.4652175141561656
34.27,94.92,67.5,68.53478248584383,1.0347824858438344
31.87,93.03,79.0,69.63563463312165,9.364365366878346
31.54,95.26,69.3,69.97746209203198,0.6774620920319876
31.54,95.26,73.0,69.97746209203198,3.0225379079680152
31.16,96.47,74.1,69.20289497699895,4.897105023001046
31.16,96.47,75.0,69.20289497699895,5.797105023001052
31.99,96.51,75.8,70.00016018346058,5.799839816539418
31.99,96.51,74.0,70.00016018346058,3.9998398165394207
